Grouping,Company Name,Tech Day URL,Social Profiles URLs,Company Description,Company URL
Exhibitors,"IJudge Opinions, Inc.",https://techdayhq.com/companies/ijudge-opinions-inc-0d728d61-9284-43c7-bf98-a4fba4b61026,"https://www.facebook.com/ijudgeinfo,http://twitter.com/https://twitter.com/IJudgeInfo,/community/startups/ijudge-opinions-inc-0d728d61-9284-43c7-bf98-a4fba4b61026","Analytic dashboards display the ""what, when & where"" - we reveal the ""why"". Embed our free, patented psychographic Slider into any content to boost engagement and measure audience sentiment. Capture & rank the precise emotional response to any content or media.",https://www.ijudge.info
Exhibitors,CloserIQ,https://techdayhq.com/companies/closeriq-00b7350a-89d2-4767-9fc7-349062615b8a,"https://www.facebook.com/closeriq,http://twitter.com/https://twitter.com/CloserIQ,https://www.linkedin.com/company/closeriq,/community/startups/closeriq-00b7350a-89d2-4767-9fc7-349062615b8a","CloserIQ is the recruiting platform connecting top sales talent with tech companies. We help high-growth tech companies like Justworks, Trello and Oscar Insurance hire from our growing network of 30,000+ sales professionals.",https://closeriq.com
Exhibitors,ScoopBroker,https://techdayhq.com/companies/scoopbroker-b286698b-c9f7-412a-9060-6804e8ce09ef,"https://www.facebook.com/ScoopBrokerNews/?view_public_for=1168936686458214,http://twitter.com/ScoopBroker,https://www.linkedin.com/company/scoopbroker/,/community/startups/scoopbroker-b286698b-c9f7-412a-9060-6804e8ce09ef",The Uber For News and Media Footage.,https://www.scoopbroker.com
Exhibitors,Selffee the edible photo booth,https://techdayhq.com/companies/selffee-the-edible-photo-booth,"https://www.facebook.com/edibleselfie,http://twitter.com/edibleselfie,https://www.linkedin.com/company/15229908/,/community/startups/selffee-the-edible-photo-booth",We create edible selfies live on-demand at events. From small social events to large scale festivals and everything in between. The edible photo booth will capture the memory of your next event in a fun and interactive way. ,www.edibleselfie.com
Exhibitors,Native,https://techdayhq.com/companies/native,"https://www.facebook.com/nativedata,http://twitter.com/https://twitter.com/nativedata,https://www.linkedin.com/company/27088778/,/community/startups/native","Native is a global, on-demand company enabling businesses to task trained locals to collect data on their behalf and analyze results in realtime. Whether you're a CPG wanting to monitor your in-store presence and that of competitors, a media organization or political party needing rapid polling, or a re-insurer segmenting your risk, Native aims to be the fastest, most affordable, and most well validated source of locally collected data available in the world. ",https://www.native.io
Exhibitors,TechOfficeSpaces.com,https://techdayhq.com/companies/techofficespaces-com,"https://www.facebook.com/techofficespaces/,http://twitter.com/https://twitter.com/techofficespace,https://www.linkedin.com/company/techofficespaces.com/,/community/startups/techofficespaces-com","TechOfficeSpaces.com is the official network for tech and creative workspaces. Updated regularly, the content typically includes:",http://www.techofficespaces.com/
Exhibitors,Flatiron School,https://techdayhq.com/companies/flatiron-school,,,
Exhibitors,Chic Sketch,https://techdayhq.com/companies/chic-sketch-91cbbcd8-d480-459e-9ca0-352848298dca,"https://www.facebook.com/chicsketch/,http://twitter.com/https://twitter.com/chicsketch,https://www.linkedin.com/company/chicsketch,/community/startups/chic-sketch-91cbbcd8-d480-459e-9ca0-352848298dca","Chic Sketch, named “One of Today’s Most Interesting Fashion Apps.” By Vogue España is a mobile fashion application and live events service where users upload a photo or strike a pose and receive a custom sketch drawn by a real fashion illustrator. ",https://www.chicsketch.com
Exhibitors,Upperline Code,https://techdayhq.com/companies/upperline-code,"http://www.facebook.com/upperlinecode,http://twitter.com/@UpperlineCode,https://www.linkedin.com/company/upperline-code",,https://www.upperlinecode.com/
Exhibitors,Navimize,https://techdayhq.com/companies/navimize-0039fa4e-55e2-4e1e-a465-05efaac1becf,,,
Exhibitors,Ytel,https://techdayhq.com/companies/ytel-12b9a681-9526-4af2-8fb4-98d7c6f2fbca,,,
Exhibitors,MAZ,https://techdayhq.com/companies/maz-3ee3fe2c-096a-4ffc-9ff4-1b54267d5498,"https://www.facebook.com/MAZdigitalinc/,http://twitter.com/https://twitter.com/mazdigital,https://www.linkedin.com/company/1170813/,/community/startups/maz-3ee3fe2c-096a-4ffc-9ff4-1b54267d5498",We believe that great software can be built without code.,mazdigital.com
